Product name,Manufacture date,Quantity,Discount
Can of Tuna,2023-04-24,211,16
Vodka,2023-11-22,72,0
Canned Olives,2022-09-27,53,16
Canned Tomatoes,2022-09-21,94,12
Rice,2023-06-24,157,10
Fanta,2023-07-03,169,15
Sprite,2022-01-31,253,20
Pepsi,2023-04-06,65,12
Rice,2023-04-19,101,8
Fanta,2022-04-10,117,14
Canned Peas,2022-03-12,264,18
Canned Beans,2022-01-26,67,17
Canned Beans,2022-04-08,280,18
Canned Pineapple,2023-06-01,280,15
Fanta,2023-04-09,46,7
Coca-Cola,2023-12-18,265,6
Rum,2023-06-02,169,13
Nestea,2023-03-15,60,6
Canned Pineapple,2023-05-28,178,12
Vodka,2023-12-03,270,8
Spaghetti,2022-06-29,183,18
Nestea,2022-03-01,217,19
Pepsi,2022-10-10,35,13
Coca-Cola,2023-02-15,81,7
Fanta,2022-02-27,201,20
Rum,2023-12-05,85,0
Canned Soup,2022-09-14,98,13
Rum,2022-05-06,276,20
Canned Pineapple,2022-02-12,201,19
Canned Pineapple,2023-10-13,106,0
Fanta,2022-04-18,22,14
Canned Beans,2022-03-06,279,19
Pasta,2022-10-31,87,15
Pepsi,2022-12-05,109,13
Canned Peas,2022-04-20,156,19
Can of Tuna,2023-01-31,156,18
Rice,2022-10-27,186,19
Canned Soup,2022-07-29,261,20
Canned Tomatoes,2023-05-17,177,14
Nestea,2022-08-26,262,20
Spaghetti,2022-11-16,17,15
Spaghetti,2023-08-14,207,6
Fanta,2023-12-22,150,0
Pepsi,2022-05-12,122,12
Canned Olives,2023-01-01,170,20
Spaghetti,2023-06-01,177,11
Canned Peas,2022-12-08,201,19
Rum,2022-06-03,250,19
Canned Olives,2022-03-17,295,20
Sprite,2022-04-07,222,18
Rice,2022-03-03,72,12
Vodka,2023-09-29,156,5
Pepsi,2023-10-28,194,5
Rum,2022-07-30,260,20
Canned Beans,2023-07-18,275,15
Spaghetti,2022-05-10,191,19
Can of Tuna,2022-03-31,143,14
Canned Beans,2022-10-11,236,20
Canned Soup,2022-07-24,275,20
Sprite,2023-06-07,173,16
Whiskey,2022-11-11,188,20
Canned Tomatoes,2023-12-20,272,9
Canned Tomatoes,2022-09-19,214,18
Canned Tomatoes,2023-10-26,275,5
Sprite,2022-09-08,140,16
Fanta,2023-08-02,170,5
Can of Tuna,2022-10-30,222,19
Canned Mushrooms,2022-10-30,168,19
Spaghetti,2023-05-06,97,9
Pepsi,2023-09-26,14,0
Canned Olives,2023-08-12,225,6
Canned Beans,2022-03-03,143,15
Canned Beans,2022-12-04,284,20
Rum,2022-03-28,66,14
Canned Mushrooms,2022-06-15,11,15
Canned Mushrooms,2023-07-31,7,0
Canned Peas,2022-09-06,261,18
Canned Beans,2023-07-29,82,6
Pepsi,2023-02-28,210,12
Canned Peas,2023-03-01,229,10
Canned Corn,2022-02-18,184,19
Canned Beans,2022-09-25,202,18
Canned Peas,2023-12-20,229,9
Nestea,2022-12-16,28,16
Canned Beans,2022-09-08,217,20
Coca-Cola,2022-03-31,118,13
Can of Tuna,2023-03-11,30,7
Rum,2022-03-08,160,20
Coca-Cola,2023-03-17,281,15
Spaghetti,2023-03-25,11,14
Canned Tomatoes,2023-06-04,83,6
Vodka,2022-12-27,13,15
Canned Soup,2023-03-28,32,12
Can of Tuna,2023-06-06,56,11
Canned Tomatoes,2022-07-20,252,19
Spaghetti,2023-02-08,78,9
Sprite,2023-06-07,197,10
Vodka,2022-06-18,20,15
Canned Peas,2023-11-14,145,0
Canned Tomatoes,2023-06-11,300,11
Canned Soup,2023-09-30,193,9
Canned Peas,2023-09-08,245,5
Fanta,2022-06-11,8,13
Sprite,2022-04-18,237,20
Pepsi,2023-03-07,186,12
Nestea,2023-01-29,258,20
Coca-Cola,2023-11-27,74,0
Rum,2023-05-30,118,9
Canned Beans,2022-02-20,173,19
Canned Olives,2022-06-05,212,18
Nestea,2022-10-24,99,16
Vodka,2023-06-01,120,9
Canned Mushrooms,2023-07-24,256,12
Canned Soup,2022-12-15,138,15
Canned Tomatoes,2022-10-18,270,20
Canned Beans,2022-02-01,121,12
Coca-Cola,2022-10-29,165,20
Coca-Cola,2022-11-10,32,14
Canned Tomatoes,2022-03-24,288,20
Vodka,2023-11-06,51,0
Canned Soup,2022-11-14,169,20
Fanta,2022-09-18,128,16
Rum,2022-10-19,156,20
Canned Tomatoes,2022-02-17,154,18
Sprite,2023-06-29,96,13
Whiskey,2023-09-18,110,0
Rum,2023-09-30,100,0
Can of Tuna,2022-06-07,56,13
Vodka,2022-01-14,153,18
Whiskey,2022-02-25,278,20
Nestea,2024-01-01,38,0
Fanta,2023-12-12,177,10
Sprite,2022-12-28,164,18
Canned Corn,2022-03-04,176,20
Rum,2022-04-07,90,16
Vodka,2023-04-26,51,11
Canned Corn,2022-10-22,244,20
Canned Soup,2022-05-25,265,18
Canned Pineapple,2023-02-14,235,14
Pasta,2022-03-05,258,18
Canned Soup,2022-07-07,96,16
Canned Peas,2023-05-01,294,14
Pasta,2022-05-24,45,14
Canned Pineapple,2022-07-02,232,19
Can of Tuna,2022-04-06,148,17
Sprite,2023-03-11,98,10
Canned Mushrooms,2023-10-01,268,5
Canned Peas,2022-04-25,285,20
Whiskey,2022-07-19,169,19
Canned Mushrooms,2022-08-27,129,16
Pepsi,2022-10-02,82,12
Canned Peas,2022-05-23,48,14
Pasta,2022-12-30,12,15
Canned Tomatoes,2023-12-25,145,0
Vodka,2022-02-24,147,14
Spaghetti,2023-03-03,153,15
Coca-Cola,2022-07-10,30,14
Vodka,2022-08-27,3,16
Fanta,2023-07-12,290,14
Nestea,2023-02-15,21,11
Can of Tuna,2022-01-15,212,19
Nestea,2022-02-22,73,14
Fanta,2023-12-09,41,0
Canned Olives,2022-09-29,88,13
Pepsi,2022-04-05,285,18
Sprite,2022-06-13,107,13
Canned Beans,2022-09-27,9,15
Sprite,2022-07-09,177,19
Nestea,2022-01-18,176,19
Canned Soup,2023-12-11,205,10
Canned Beans,2022-04-16,1,15
Canned Mushrooms,2022-07-30,261,20
Canned Olives,2023-06-10,93,13
Can of Tuna,2022-02-11,67,14
Coca-Cola,2022-08-07,277,20
Rum,2023-10-11,291,8
Coca-Cola,2022-01-28,10,12
Whiskey,2023-11-01,292,8
Canned Corn,2022-01-12,134,15
Fanta,2023-12-02,41,0
Rum,2022-08-24,243,18
Canned Pineapple,2022-01-29,104,13
Nestea,2023-12-23,99,0
Rice,2023-09-09,135,0
Canned Mushrooms,2023-04-23,159,16
Canned Pineapple,2023-05-27,290,16
Canned Olives,2023-02-25,93,8
Canned Mushrooms,2023-04-02,7,8
Canned Olives,2022-09-22,278,19
Pasta,2023-06-02,114,10
Canned Beans,2022-01-10,115,16
Rice,2022-12-06,44,15
Fanta,2022-04-19,274,18
Canned Mushrooms,2022-02-06,253,20
Canned Corn,2023-02-22,228,12
Sprite,2023-09-14,115,0
Coca-Cola,2023-06-04,26,6
Can of Tuna,2022-06-30,109,14
Fanta,2022-07-01,295,18
Canned Tomatoes,2023-09-30,290,6
Fanta,2022-11-28,148,13
Whiskey,2023-09-03,72,0
Nestea,2023-03-05,108,12
Rice,2022-02-18,159,18
Nestea,2022-08-27,266,20
Canned Corn,2022-04-21,190,20
Fanta,2022-04-26,55,15
Coca-Cola,2023-03-18,68,12
Canned Olives,2022-12-24,241,18
Nestea,2023-08-30,298,5
Canned Soup,2022-02-11,156,20
Rum,2023-03-11,153,14
Can of Tuna,2023-12-06,19,0
Canned Mushrooms,2023-08-17,231,6
Pepsi,2023-03-31,281,15
Can of Tuna,2023-04-19,103,13
Canned Mushrooms,2022-08-10,114,17
Rum,2023-01-18,78,12
Canned Olives,2023-09-29,199,8
Fanta,2022-06-28,157,20
Pepsi,2022-07-21,113,17
Whiskey,2022-10-03,122,15
Canned Peas,2022-10-08,117,15
Canned Pineapple,2023-10-29,294,9
Whiskey,2023-01-22,52,13
Canned Pineapple,2023-01-21,211,20
Canned Tomatoes,2023-02-23,114,10
Canned Pineapple,2022-03-03,267,19
Pepsi,2022-03-10,236,19
Canned Peas,2023-04-02,100,10
Pasta,2022-05-16,141,15
Rum,2023-09-05,293,7
Canned Beans,2022-04-10,146,16
Spaghetti,2022-09-18,297,20
Pepsi,2022-11-19,258,19
Canned Peas,2023-04-16,3,6
Vodka,2022-05-05,161,18
Pepsi,2024-01-01,152,7
Sprite,2023-12-07,180,10
Canned Mushrooms,2022-01-04,261,20
Fanta,2022-03-29,97,15
Canned Mushrooms,2022-01-25,124,15
Canned Beans,2022-12-19,27,15
Pasta,2023-12-11,227,9
Sprite,2023-10-18,22,0
Spaghetti,2023-10-10,105,0
Canned Beans,2022-12-02,7,17
Canned Tomatoes,2023-07-13,198,10
Pasta,2022-09-06,271,18
Canned Peas,2022-04-17,60,15
Nestea,2022-08-12,297,19
Canned Peas,2022-04-22,53,15
Nestea,2023-08-12,169,5
Rum,2022-05-06,250,20
Canned Mushrooms,2022-06-28,270,19
Whiskey,2023-08-29,173,6
Coca-Cola,2023-06-16,74,6
Canned Peas,2023-01-30,181,19
Whiskey,2023-07-31,142,0
Canned Mushrooms,2023-08-10,264,9
Can of Tuna,2022-04-13,184,19
Canned Beans,2023-03-25,289,13
Spaghetti,2023-07-14,259,16
Canned Beans,2023-12-12,244,9
Whiskey,2023-03-28,159,13
Can of Tuna,2023-04-11,82,11
Canned Peas,2023-07-25,54,8
Can of Tuna,2022-05-26,201,19
Canned Tomatoes,2023-12-03,257,5
Sprite,2022-05-27,158,19
Coca-Cola,2023-07-14,222,12
Can of Tuna,2022-07-15,129,15
Nestea,2022-10-10,224,18
Canned Soup,2022-02-24,162,19
Fanta,2022-10-24,249,18
Nestea,2022-09-17,148,16
Canned Olives,2023-02-14,2,9
Fanta,2023-05-22,4,14
Nestea,2023-05-25,206,13
Canned Corn,2022-09-22,118,14
Vodka,2022-06-05,75,13
Pasta,2022-07-25,249,20
Canned Mushrooms,2023-03-31,300,16
Canned Peas,2023-07-16,22,8
Coca-Cola,2023-09-21,141,0
Canned Soup,2022-03-28,155,19
Rum,2022-10-20,23,15
Vodka,2022-06-28,131,15
Pasta,2023-02-09,292,16
Nestea,2022-04-01,149,13
Canned Peas,2023-09-28,195,7
Fanta,2022-09-05,95,13
Whiskey,2022-02-20,223,19
Canned Soup,2023-12-07,204,10
Sprite,2023-06-20,292,13
Canned Pineapple,2023-06-12,271,14
Canned Mushrooms,2023-05-09,38,10
Canned Soup,2022-01-08,58,17
Canned Soup,2023-12-16,76,0
Canned Beans,2022-10-07,144,15
Canned Peas,2022-04-14,271,19
Vodka,2022-03-24,193,20
Whiskey,2023-01-10,159,20
Rice,2022-07-05,20,13
Vodka,2023-09-30,120,0
Canned Tomatoes,2023-12-26,37,0
Canned Peas,2023-07-14,201,12
Sprite,2023-11-12,156,5
Canned Olives,2022-06-08,146,15
Canned Corn,2022-04-21,287,19
Can of Tuna,2023-06-03,165,14
Rice,2023-02-14,249,12
Canned Mushrooms,2022-01-07,109,13
Canned Peas,2023-05-11,227,14
Canned Pineapple,2022-02-06,139,12
Rum,2022-12-25,142,14
Canned Beans,2023-03-08,236,15
Whiskey,2023-03-05,245,13
Canned Tomatoes,2023-09-05,109,0
Vodka,2023-11-10,117,0
Pepsi,2023-06-02,33,10
Fanta,2023-07-29,267,14
Canned Mushrooms,2023-10-15,283,5
Fanta,2022-04-09,2,17
Canned Olives,2023-01-12,86,16
Rice,2022-05-15,215,18
Rum,2022-04-07,92,17
Canned Olives,2022-11-17,66,15
Coca-Cola,2022-12-26,209,19
Canned Pineapple,2023-01-16,97,14
Nestea,2022-05-03,216,18
Sprite,2023-10-25,194,6
Canned Beans,2022-06-17,86,17
Canned Peas,2023-08-08,208,5
Canned Beans,2023-04-09,189,10
Sprite,2023-01-11,35,15
Pasta,2023-06-18,93,14
Sprite,2023-06-01,132,12
Pasta,2022-08-27,86,12
Can of Tuna,2023-08-13,219,8
Whiskey,2022-01-04,146,14
Canned Peas,2023-02-05,181,10
Canned Olives,2022-11-29,17,14
Canned Tomatoes,2023-12-18,243,6
Pasta,2023-01-16,275,18
Canned Beans,2022-05-28,185,19
Spaghetti,2022-01-28,197,19
Pepsi,2022-06-20,134,15
Canned Peas,2022-08-10,180,18
Vodka,2023-10-11,86,0
Sprite,2023-11-22,278,10
Fanta,2022-03-13,70,12
Coca-Cola,2023-08-03,68,0
Canned Olives,2023-02-10,292,15
Canned Corn,2023-03-25,63,7
Rice,2022-01-05,22,14
Canned Peas,2023-12-16,28,0
Spaghetti,2022-02-16,255,19
Rice,2023-05-28,250,16
Rice,2023-07-28,179,13
Rice,2023-08-12,264,10
Canned Soup,2023-10-10,235,9
Canned Pineapple,2022-02-21,155,19
Sprite,2022-02-27,224,19
Sprite,2022-05-03,222,18
Nestea,2023-02-28,181,15
Canned Beans,2023-09-10,16,0
Pasta,2022-02-03,192,20
Canned Mushrooms,2022-08-11,77,14
Canned Olives,2023-03-11,298,10
Coca-Cola,2022-11-10,171,19
Pasta,2023-11-14,91,0
Whiskey,2023-05-27,65,8
Pasta,2022-04-19,153,19
Can of Tuna,2022-07-29,50,15
Canned Pineapple,2023-04-25,225,14
Canned Tomatoes,2022-05-21,216,19
Fanta,2023-05-10,197,13
Canned Mushrooms,2023-03-13,61,9
Canned Tomatoes,2023-07-10,280,16
Rice,2022-10-03,11,15
Canned Mushrooms,2023-06-30,69,13
Coca-Cola,2023-06-22,6,10
Can of Tuna,2023-11-11,175,5
Whiskey,2022-12-24,278,19
Whiskey,2023-07-04,86,9
Canned Tomatoes,2023-05-31,290,11
Canned Tomatoes,2022-06-16,256,19
Whiskey,2023-01-11,143,13
Canned Peas,2022-09-21,69,16
Canned Beans,2023-02-10,205,16
Can of Tuna,2023-05-18,250,15
Canned Corn,2022-12-05,149,17
Nestea,2022-04-12,232,18
Spaghetti,2022-04-28,258,18
Spaghetti,2023-10-29,228,9
Canned Mushrooms,2023-02-27,14,13
Pasta,2022-05-03,148,15
Rum,2023-05-09,229,11
Whiskey,2022-02-03,118,17
Canned Pineapple,2022-11-21,41,14
Canned Pineapple,2023-03-26,189,14
Fanta,2022-02-08,237,19
Nestea,2023-06-07,15,10
Rice,2022-03-05,119,13
Spaghetti,2022-02-24,155,20
Canned Soup,2023-08-08,176,9
Rum,2022-08-08,240,20
Vodka,2022-07-19,93,12
Vodka,2023-01-31,190,18
Whiskey,2023-10-06,134,0
Vodka,2022-01-27,249,19
Spaghetti,2023-01-03,19,16
Canned Olives,2022-10-03,167,19
Canned Corn,2023-08-29,285,5
Canned Tomatoes,2022-10-29,208,18
Canned Beans,2023-09-06,289,5
Canned Mushrooms,2023-01-28,210,20
Canned Olives,2023-05-27,288,12
Canned Pineapple,2022-06-12,286,20
Rice,2022-04-24,213,18
Canned Peas,2023-09-27,171,6
Rice,2022-07-18,158,18
Rice,2022-10-07,202,19
Coca-Cola,2023-08-01,120,0
Coca-Cola,2023-03-06,255,12
Canned Tomatoes,2023-06-08,111,7
Canned Soup,2023-01-18,86,16
Canned Peas,2023-10-31,135,0
Pasta,2023-01-18,263,18
Whiskey,2023-12-08,271,5
Sprite,2022-12-24,211,19
Vodka,2023-12-13,72,0
Canned Soup,2023-03-16,202,10
Canned Corn,2022-12-19,138,13
Canned Beans,2023-10-13,280,9
Pasta,2022-05-07,166,18
Sprite,2022-05-24,131,12
Pasta,2022-12-22,102,16
Pepsi,2022-06-02,122,17
Spaghetti,2022-02-09,189,20
Coca-Cola,2023-08-26,263,7
Canned Olives,2023-11-26,178,7
Vodka,2023-06-22,162,14
Canned Olives,2022-04-12,160,19
Canned Tomatoes,2022-02-10,253,20
Canned Pineapple,2022-08-25,237,19
Canned Peas,2023-12-13,270,5
Pasta,2022-06-18,63,14
Vodka,2023-06-08,251,10
Vodka,2023-08-21,51,0
Canned Tomatoes,2023-06-23,272,11
Nestea,2022-05-07,270,18
Canned Olives,2022-06-29,35,12
Fanta,2022-05-19,217,20
Can of Tuna,2023-08-27,265,5
Whiskey,2023-09-10,278,7
Sprite,2023-08-10,196,8
Coca-Cola,2022-01-08,32,16
Canned Corn,2022-05-04,173,18
Canned Tomatoes,2022-10-08,8,16
Fanta,2022-09-29,133,14
Canned Beans,2023-07-16,216,14
Canned Soup,2022-11-23,70,12
Canned Corn,2022-04-25,156,19
Canned Beans,2023-01-14,32,14
Canned Peas,2023-02-10,244,15
Canned Mushrooms,2022-12-22,110,15
Canned Corn,2023-03-04,214,16
Canned Pineapple,2023-01-08,283,20
Spaghetti,2022-06-23,238,19
Fanta,2023-11-24,223,7
Canned Beans,2023-12-06,275,7
Rum,2022-01-26,155,18
Rum,2023-07-04,162,13
Vodka,2023-08-30,219,5
Whiskey,2022-04-05,156,19
Vodka,2023-08-02,59,0
Fanta,2022-04-07,181,20
Rum,2022-03-21,258,18
Whiskey,2022-11-09,210,19
Rice,2023-12-14,78,0
Can of Tuna,2023-02-17,211,12
Canned Tomatoes,2022-03-17,171,20
Pepsi,2022-09-15,21,15
Spaghetti,2022-03-06,206,20
Sprite,2023-07-03,100,10
Canned Olives,2022-10-09,138,14
Spaghetti,2023-10-15,196,10
Pepsi,2023-10-27,58,0
Canned Tomatoes,2023-03-10,125,9
Rice,2023-08-09,37,0
Coca-Cola,2023-08-13,271,8
Canned Olives,2023-06-16,101,6
Canned Corn,2022-07-16,72,15
Spaghetti,2022-08-24,182,20
Canned Pineapple,2022-01-13,121,14
Canned Corn,2022-06-17,138,15
Canned Mushrooms,2023-08-17,281,7
Canned Olives,2022-10-01,225,18
Spaghetti,2023-07-13,219,16
Canned Peas,2022-09-10,128,13
Whiskey,2022-12-14,14,16
Canned Pineapple,2023-10-03,38,0
Canned Pineapple,2022-03-24,161,18
Sprite,2022-04-07,16,16
Canned Corn,2023-06-07,118,7
Canned Beans,2023-08-28,186,7
Can of Tuna,2022-10-27,160,20
Canned Mushrooms,2022-04-04,171,20
Canned Peas,2022-10-07,83,13
Canned Soup,2023-08-25,202,7
Canned Mushrooms,2023-12-26,187,9
Nestea,2022-06-28,170,20
Nestea,2022-01-09,47,13
Whiskey,2022-11-13,188,19
Whiskey,2023-08-27,30,0
Sprite,2023-03-18,76,6
Fanta,2023-01-25,238,20
Pasta,2023-07-18,292,12
Sprite,2022-12-26,261,18
Rum,2022-05-23,120,15
Canned Pineapple,2022-03-29,170,20
Coca-Cola,2022-03-13,269,20
Canned Pineapple,2022-02-13,50,12
Spaghetti,2023-10-29,97,0
Rum,2022-09-24,107,14
Spaghetti,2022-05-21,171,18
Whiskey,2022-05-28,137,17
Sprite,2023-09-30,122,0
Canned Beans,2023-09-14,92,0
Pepsi,2022-10-26,192,20
Pepsi,2023-04-12,275,15
Can of Tuna,2023-03-18,38,9
Whiskey,2022-09-27,24,12
Spaghetti,2022-01-21,3,17
Pasta,2023-11-18,3,0
Canned Peas,2023-12-25,166,6
Canned Pineapple,2023-03-26,294,12
Nestea,2022-03-19,26,13
Nestea,2023-11-04,196,10
Whiskey,2023-02-23,287,15
Sprite,2022-05-13,179,18
Canned Olives,2022-04-28,9,17
Canned Beans,2022-06-07,157,18
Sprite,2022-03-26,139,16
Spaghetti,2022-10-13,267,18
Canned Tomatoes,2023-05-03,224,16
Canned Soup,2023-04-23,142,6
Canned Olives,2022-07-03,199,19
Rum,2023-03-12,3,10
Whiskey,2022-10-07,211,18
Canned Corn,2023-04-18,163,16
Canned Corn,2023-10-17,213,8
Fanta,2022-09-25,210,18
Canned Tomatoes,2023-02-03,115,11
Can of Tuna,2022-01-16,48,14
Rum,2022-06-04,36,17
Nestea,2022-05-17,211,18
Canned Tomatoes,2022-10-10,284,20
Vodka,2023-09-20,292,5
Rum,2022-04-21,103,12
Can of Tuna,2023-06-18,234,15
Vodka,2023-08-27,165,10
Pasta,2022-09-04,234,20
Canned Olives,2022-08-31,15,12
Canned Peas,2023-07-15,259,12
Nestea,2023-09-17,96,0
Can of Tuna,2022-04-23,291,19
Fanta,2023-08-18,246,9
Whiskey,2023-06-18,219,14
Canned Corn,2023-11-01,97,0
Sprite,2022-02-20,248,20
Canned Pineapple,2022-04-17,135,14
Rum,2022-11-14,21,12
Coca-Cola,2022-07-16,70,13
Coca-Cola,2023-10-01,273,9
Rum,2022-05-15,54,13
Pasta,2023-07-04,19,10
Fanta,2022-12-11,111,17
Canned Pineapple,2023-07-16,282,11
Spaghetti,2023-07-27,268,12
Canned Pineapple,2022-06-29,41,14
Sprite,2023-08-12,166,6
Canned Corn,2023-12-24,44,0
Canned Soup,2022-01-29,23,12
Canned Olives,2022-03-26,253,18
Fanta,2022-05-08,259,18
Canned Peas,2023-01-13,134,14
Vodka,2022-02-21,54,13
Rum,2023-06-13,149,7
Pasta,2023-10-01,149,0
Pepsi,2023-02-27,29,11
Nestea,2023-10-08,160,9
Pepsi,2022-06-16,135,14
Nestea,2023-06-21,218,10
Sprite,2022-05-02,76,15
Rice,2023-07-11,21,9
Sprite,2022-08-31,60,15
Canned Olives,2023-05-25,55,6
Whiskey,2023-04-28,41,8
Rum,2023-06-13,246,13
Canned Corn,2023-09-27,211,10
Canned Beans,2023-12-08,200,7
Rice,2022-10-23,289,19
Whiskey,2023-04-20,185,16
Canned Peas,2022-02-05,234,18
Nestea,2022-02-23,85,16
Canned Pineapple,2023-05-21,214,14
Canned Corn,2023-09-28,112,0
Canned Beans,2023-04-02,108,14
Canned Beans,2023-11-11,99,0
Spaghetti,2023-08-07,228,7
Vodka,2022-10-16,195,18
Nestea,2022-10-11,199,20
Rum,2023-11-29,80,0
Canned Tomatoes,2023-03-05,99,10
Canned Pineapple,2022-02-11,261,20
Vodka,2023-09-09,134,0
Spaghetti,2022-01-25,142,15
Rice,2023-09-01,110,0
Pasta,2022-05-31,48,17
Rum,2022-11-02,167,20
Spaghetti,2022-09-11,90,15
Spaghetti,2022-03-20,125,12
Vodka,2022-04-12,51,12
Fanta,2023-05-13,174,10
Rum,2023-07-07,251,13
Rum,2024-01-01,173,8
Nestea,2022-10-07,128,17
Can of Tuna,2023-12-11,129,0
Canned Beans,2023-10-10,232,6
Vodka,2023-12-07,89,0
Rice,2023-03-19,70,6
Canned Pineapple,2023-01-01,132,16
Canned Beans,2023-05-17,98,8
Fanta,2022-08-02,214,19
Pepsi,2022-02-19,93,15
Canned Olives,2023-06-12,73,10
Canned Olives,2022-10-09,149,14
Canned Beans,2022-12-25,28,14
Nestea,2022-10-05,77,12
Whiskey,2023-01-11,26,13
Canned Peas,2022-06-09,269,18
Canned Olives,2022-05-24,104,12
Canned Tomatoes,2023-08-16,91,0
Rum,2022-04-27,43,13
Canned Pineapple,2023-04-08,80,10
Fanta,2023-01-07,198,19
Canned Olives,2022-12-10,82,14
Fanta,2023-11-26,283,5
Vodka,2023-05-02,170,13
Pepsi,2022-01-22,190,19
Whiskey,2023-04-16,35,13
Fanta,2023-08-19,30,0
Can of Tuna,2023-01-01,248,18
Coca-Cola,2023-10-28,262,5
Whiskey,2023-07-12,300,13
Pepsi,2023-09-27,13,0
Can of Tuna,2022-10-14,168,20
Canned Tomatoes,2022-11-20,208,18
Canned Beans,2023-03-18,137,6
Canned Beans,2023-10-28,102,0
Rice,2022-09-07,76,13
Rice,2023-11-18,57,0
Canned Peas,2022-07-21,199,18
Sprite,2023-10-09,178,7
Canned Beans,2022-11-11,215,19
Rum,2022-09-16,173,18
Vodka,2022-04-12,82,15
Canned Pineapple,2022-02-28,13,12
Canned Corn,2022-02-10,118,12
Canned Pineapple,2022-04-19,166,18
Fanta,2022-01-30,276,18
Coca-Cola,2022-05-26,175,20
Canned Olives,2023-04-02,91,11
Rum,2023-04-27,86,10
Canned Peas,2022-03-07,13,17
Fanta,2023-02-17,129,10
Sprite,2023-03-30,191,14
Rice,2023-12-08,215,10
Pasta,2023-10-08,49,0
Canned Pineapple,2022-07-31,293,20
Canned Mushrooms,2023-12-21,146,0
Sprite,2022-06-09,172,20
Whiskey,2022-01-21,220,19
Canned Pineapple,2022-07-01,210,19
Canned Tomatoes,2022-11-10,204,19
Canned Mushrooms,2023-05-16,171,14
Can of Tuna,2022-05-07,133,17
Rice,2022-09-01,268,18
Canned Pineapple,2023-05-28,143,11
Canned Soup,2023-08-18,248,8
Pasta,2022-07-19,26,16
Pasta,2023-04-25,13,10
Coca-Cola,2023-11-30,164,9
Vodka,2022-03-30,162,19
Canned Soup,2022-06-01,35,17
Coca-Cola,2022-05-22,144,17
Fanta,2022-10-15,114,13
Canned Peas,2023-09-08,168,8
Sprite,2022-06-16,211,20
Nestea,2023-12-01,115,0
Canned Soup,2022-11-12,73,15
Coca-Cola,2023-06-15,201,13
Vodka,2022-06-18,96,16
Fanta,2022-07-30,294,20
Whiskey,2022-04-10,21,14
Canned Pineapple,2023-11-24,208,10
Spaghetti,2023-09-17,275,10
Vodka,2023-05-26,216,13
Rice,2023-05-02,282,11
Whiskey,2023-12-18,193,10
Canned Tomatoes,2022-01-28,166,19
Coca-Cola,2023-03-13,58,7
Canned Soup,2023-10-14,171,9
Canned Olives,2023-09-04,117,0
Canned Mushrooms,2023-01-06,114,16
Rice,2023-12-16,194,10
Canned Mushrooms,2022-12-21,235,19
Nestea,2022-03-18,3,16
Canned Olives,2022-02-08,62,14
Rice,2023-06-08,143,7
Canned Beans,2022-10-25,146,17
Whiskey,2022-07-30,18,12
Spaghetti,2023-08-12,173,5
Canned Beans,2022-06-28,45,12
Vodka,2022-02-26,5,17
Canned Pineapple,2023-03-16,64,10
Canned Corn,2022-06-19,133,13
Canned Corn,2023-01-04,150,12
Canned Soup,2022-10-29,215,19
Canned Pineapple,2022-06-20,250,18
Canned Corn,2022-01-30,248,19
Canned Pineapple,2022-01-29,274,19
Canned Pineapple,2023-12-12,136,0
Rum,2023-01-30,250,20
Canned Mushrooms,2023-08-16,141,0
Canned Olives,2023-11-14,250,10
Rum,2022-04-11,92,16
Sprite,2022-11-15,7,14
Can of Tuna,2023-09-02,182,9
Spaghetti,2022-03-30,141,12
Canned Soup,2022-03-20,165,19
Can of Tuna,2022-01-12,156,18
Canned Mushrooms,2023-07-14,203,12
Canned Soup,2023-07-04,206,12
Sprite,2022-08-06,123,14
Canned Tomatoes,2022-05-20,205,20
Nestea,2023-04-08,276,13
Whiskey,2022-08-30,288,19
Sprite,2022-04-01,85,14
Canned Pineapple,2022-01-18,46,17
Rice,2023-11-15,264,10
Can of Tuna,2023-05-26,267,15
Pasta,2023-01-07,224,20
Canned Tomatoes,2023-05-13,163,11
Coca-Cola,2023-12-07,227,6
Fanta,2023-02-17,101,13
Rice,2022-08-13,172,18
Canned Tomatoes,2023-07-30,96,9
Vodka,2022-09-19,254,18
Rum,2022-02-08,292,19
Nestea,2023-08-18,280,9
Rum,2022-12-20,161,20
Canned Corn,2023-05-16,226,15
Vodka,2023-05-29,227,10
Pepsi,2023-11-12,206,6
Rice,2023-03-17,111,11
Fanta,2023-01-26,188,20
Canned Beans,2022-07-29,47,15
Canned Peas,2022-11-16,237,19
Canned Tomatoes,2022-07-02,276,20
Nestea,2022-12-27,248,19
Canned Beans,2023-05-11,106,12
Canned Soup,2023-01-04,180,19
Canned Corn,2022-06-06,151,20
Canned Beans,2023-04-28,85,6
Canned Olives,2023-12-03,167,8
Spaghetti,2023-11-16,280,10
Whiskey,2023-05-12,196,10
Canned Olives,2022-11-22,234,20
Canned Tomatoes,2022-11-08,125,14
Canned Pineapple,2022-01-23,204,18
Sprite,2022-10-15,140,12
Sprite,2023-06-04,40,13
Pasta,2022-06-18,258,20
Spaghetti,2023-06-15,157,12
Canned Beans,2022-10-16,247,19
Sprite,2022-06-11,202,19
Canned Beans,2023-05-21,6,7
Canned Soup,2023-08-01,274,5
Coca-Cola,2022-05-09,289,19
Canned Beans,2022-11-23,198,19
Whiskey,2022-11-26,78,17
