Product,Category,Quantity,Manufactury Date,Expiry Date,Quantity Sold Last 30 Days,Discount
Fish,Seafood,55,2024-07-17,2024-07-21,32,15
Fish,Seafood,54,2024-07-22,2024-07-26,32,19
Potato,Vegetables,17,2024-07-16,2024-07-24,46,11
Beef,Meat,74,2024-07-17,2024-07-24,34,42
Cookies,Snacks,54,2024-07-10,2024-11-07,0,1
Juice,Beverages,70,2024-07-20,2024-09-18,3,2
Banana,Fruits,45,2024-07-15,2024-07-22,16,34
Chicken,Meat,83,2024-07-15,2024-07-20,39,40
Carrot,Vegetables,44,2024-07-10,2024-07-20,25,10
Chips,Snacks,57,2024-07-12,2024-12-09,14,0
Yogurt,Dairy,51,2024-07-13,2024-07-25,10,37
Orange,Fruits,42,2024-07-17,2024-08-06,42,5
Potato,Vegetables,63,2024-07-15,2024-07-23,46,16
Spinach,Vegetables,95,2024-07-10,2024-07-18,16,31
Milk,Dairy,70,2024-07-14,2024-07-24,29,32
Milk,Dairy,21,2024-07-17,2024-07-27,29,13
Orange,Fruits,27,2024-07-23,2024-08-12,42,10
Soda,Beverages,83,2024-07-17,2024-10-15,18,8
Butter,Dairy,62,2024-07-14,2024-08-13,28,30
Beef,Meat,60,2024-07-21,2024-07-28,34,16
Soda,Beverages,57,2024-07-10,2024-10-08,18,7
Apple,Fruits,16,2024-07-21,2024-08-05,18,12
Fish,Seafood,47,2024-07-17,2024-07-21,32,15
Apple,Fruits,83,2024-07-13,2024-07-28,18,48
Milk,Dairy,33,2024-07-23,2024-08-02,29,12
Juice,Beverages,13,2024-07-22,2024-09-20,3,5
Chicken,Meat,95,2024-07-13,2024-07-18,39,34
Beef,Meat,21,2024-07-22,2024-07-29,34,19
Shrimp,Seafood,74,2024-07-12,2024-07-18,48,17
Broccoli,Vegetables,56,2024-07-16,2024-07-28,31,12
Orange,Fruits,67,2024-07-11,2024-07-31,42,15
Spinach,Vegetables,35,2024-07-14,2024-07-22,16,31
Fish,Seafood,86,2024-07-21,2024-07-25,32,39
Banana,Fruits,55,2024-07-14,2024-07-21,16,30
Juice,Beverages,60,2024-07-10,2024-09-08,3,9
Bread,Bakery,52,2024-07-16,2024-07-19,25,31
Broccoli,Vegetables,48,2024-07-13,2024-07-25,31,17
Beef,Meat,62,2024-07-23,2024-07-30,34,12
Chips,Snacks,74,2024-07-15,2024-12-12,14,4
Milk,Dairy,20,2024-07-20,2024-07-30,29,14
Beef,Meat,95,2024-07-17,2024-07-24,34,45
Potato,Vegetables,96,2024-07-19,2024-07-27,46,31
Chips,Snacks,46,2024-07-12,2024-12-09,14,4
Bread,Bakery,53,2024-07-10,2024-07-13,25,45
Bread,Bakery,54,2024-07-16,2024-07-19,25,44
Cookies,Snacks,12,2024-07-18,2024-11-15,0,1
Spinach,Vegetables,99,2024-07-14,2024-07-22,16,31
Banana,Fruits,37,2024-07-23,2024-07-30,16,49
Chips,Snacks,38,2024-07-19,2024-12-16,14,7
Fish,Seafood,70,2024-07-19,2024-07-23,32,33
Cookies,Snacks,86,2024-07-13,2024-11-10,0,0
Beef,Meat,41,2024-07-10,2024-07-17,34,12
Banana,Fruits,40,2024-07-22,2024-07-29,16,49
Banana,Fruits,92,2024-07-12,2024-07-19,16,34
Chips,Snacks,76,2024-07-20,2024-12-17,14,7
Chips,Snacks,80,2024-07-20,2024-12-17,14,6
Juice,Beverages,85,2024-07-10,2024-09-08,3,6
Spinach,Vegetables,21,2024-07-23,2024-07-31,16,15
Chips,Snacks,99,2024-07-11,2024-12-08,14,3
Potato,Vegetables,80,2024-07-10,2024-07-18,46,11
Apple,Fruits,16,2024-07-13,2024-07-28,18,14
Banana,Fruits,47,2024-07-19,2024-07-26,16,41
Carrot,Vegetables,89,2024-07-22,2024-08-01,25,38
Fish,Seafood,37,2024-07-13,2024-07-17,32,14
Tomato,Vegetables,58,2024-07-12,2024-07-25,38,14
Chicken,Meat,24,2024-07-22,2024-07-27,39,17
Cookies,Snacks,20,2024-07-14,2024-11-11,0,4
Yogurt,Dairy,45,2024-07-19,2024-07-31,10,39
Broccoli,Vegetables,33,2024-07-20,2024-08-01,31,19
Chicken,Meat,39,2024-07-16,2024-07-21,39,10
Carrot,Vegetables,78,2024-07-15,2024-07-25,25,38
Tomato,Vegetables,67,2024-07-20,2024-08-02,38,9
Soda,Beverages,27,2024-07-20,2024-10-18,18,0
Bread,Bakery,52,2024-07-12,2024-07-15,25,31
Beef,Meat,11,2024-07-18,2024-07-25,34,11
Yogurt,Dairy,93,2024-07-15,2024-07-27,10,48
Orange,Fruits,56,2024-07-13,2024-08-02,42,8
Yogurt,Dairy,97,2024-07-21,2024-08-02,10,26
Tomato,Vegetables,69,2024-07-10,2024-07-23,38,11
Broccoli,Vegetables,69,2024-07-20,2024-08-01,31,34
Soda,Beverages,87,2024-07-19,2024-10-17,18,0
Beef,Meat,74,2024-07-14,2024-07-21,34,33
Juice,Beverages,53,2024-07-17,2024-09-15,3,7
Apple,Fruits,86,2024-07-15,2024-07-30,18,31
Chicken,Meat,30,2024-07-17,2024-07-22,39,12
Chips,Snacks,92,2024-07-14,2024-12-11,14,2
Butter,Dairy,85,2024-07-14,2024-08-13,28,31
Apple,Fruits,99,2024-07-13,2024-07-28,18,37
Fish,Seafood,88,2024-07-10,2024-07-14,32,36
Tomato,Vegetables,55,2024-07-18,2024-07-31,38,19
Butter,Dairy,77,2024-07-10,2024-08-09,28,28
Spinach,Vegetables,95,2024-07-15,2024-07-23,16,31
Tomato,Vegetables,54,2024-07-22,2024-08-04,38,6
Chips,Snacks,59,2024-07-14,2024-12-11,14,7
Butter,Dairy,17,2024-07-12,2024-08-11,28,9
Beef,Meat,50,2024-07-17,2024-07-24,34,19
Juice,Beverages,51,2024-07-16,2024-09-14,3,9
Juice,Beverages,38,2024-07-22,2024-09-20,3,5
Banana,Fruits,24,2024-07-15,2024-07-22,16,12
Butter,Dairy,35,2024-07-11,2024-08-10,28,7
Beef,Meat,37,2024-07-17,2024-07-24,34,15
Cookies,Snacks,31,2024-07-15,2024-11-12,0,8
Banana,Fruits,14,2024-07-15,2024-07-22,16,17
Cookies,Snacks,96,2024-07-15,2024-11-12,0,4
Soda,Beverages,74,2024-07-22,2024-10-20,18,2
Carrot,Vegetables,78,2024-07-12,2024-07-22,25,33
Fish,Seafood,69,2024-07-21,2024-07-25,32,36
Chicken,Meat,56,2024-07-11,2024-07-16,39,10
Chicken,Meat,75,2024-07-18,2024-07-23,39,11
Chicken,Meat,38,2024-07-18,2024-07-23,39,16
Tomato,Vegetables,96,2024-07-14,2024-07-27,38,33
Juice,Beverages,66,2024-07-16,2024-09-14,3,0
Orange,Fruits,53,2024-07-19,2024-08-08,42,10
Spinach,Vegetables,39,2024-07-15,2024-07-23,16,49
Milk,Dairy,13,2024-07-21,2024-07-31,29,18
Juice,Beverages,13,2024-07-11,2024-09-09,3,5
Bread,Bakery,53,2024-07-14,2024-07-17,25,32
Spinach,Vegetables,54,2024-07-23,2024-07-31,16,40
Bread,Bakery,43,2024-07-15,2024-07-18,25,12
Beef,Meat,13,2024-07-17,2024-07-24,34,19
Banana,Fruits,26,2024-07-23,2024-07-30,16,14
Apple,Fruits,39,2024-07-18,2024-08-02,18,23
Soda,Beverages,80,2024-07-14,2024-10-12,18,6
Shrimp,Seafood,97,2024-07-19,2024-07-25,48,43
Beef,Meat,95,2024-07-11,2024-07-18,34,35
Spinach,Vegetables,98,2024-07-19,2024-07-27,16,43
Chips,Snacks,74,2024-07-23,2024-12-20,14,5
Milk,Dairy,24,2024-07-23,2024-08-02,29,13
Carrot,Vegetables,59,2024-07-16,2024-07-26,25,37
Chips,Snacks,82,2024-07-18,2024-12-15,14,2
Carrot,Vegetables,23,2024-07-21,2024-07-31,25,15
Orange,Fruits,40,2024-07-14,2024-08-03,42,7
Beef,Meat,79,2024-07-19,2024-07-26,34,49
Chicken,Meat,44,2024-07-12,2024-07-17,39,18
Tomato,Vegetables,18,2024-07-10,2024-07-23,38,10
Soda,Beverages,41,2024-07-18,2024-10-16,18,6
Butter,Dairy,23,2024-07-18,2024-08-17,28,6
Bread,Bakery,61,2024-07-19,2024-07-22,25,30
Yogurt,Dairy,95,2024-07-23,2024-08-04,10,28
Cookies,Snacks,37,2024-07-23,2024-11-20,0,9
Apple,Fruits,44,2024-07-20,2024-08-04,18,33
Apple,Fruits,11,2024-07-10,2024-07-25,18,15
Apple,Fruits,28,2024-07-15,2024-07-30,18,18
Yogurt,Dairy,20,2024-07-23,2024-08-04,10,5
Juice,Beverages,29,2024-07-14,2024-09-12,3,2
Bread,Bakery,38,2024-07-10,2024-07-13,25,16
Banana,Fruits,67,2024-07-17,2024-07-24,16,39
Soda,Beverages,75,2024-07-11,2024-10-09,18,9
Bread,Bakery,20,2024-07-23,2024-07-26,25,12
Tomato,Vegetables,62,2024-07-14,2024-07-27,38,14
Chips,Snacks,68,2024-07-10,2024-12-07,14,1
Bread,Bakery,29,2024-07-21,2024-07-24,25,15
Spinach,Vegetables,71,2024-07-14,2024-07-22,16,46
Yogurt,Dairy,66,2024-07-17,2024-07-29,10,36
Shrimp,Seafood,83,2024-07-23,2024-07-29,48,17
Spinach,Vegetables,41,2024-07-13,2024-07-21,16,33
Yogurt,Dairy,51,2024-07-16,2024-07-28,10,47
Spinach,Vegetables,44,2024-07-21,2024-07-29,16,34
Banana,Fruits,38,2024-07-19,2024-07-26,16,32
Butter,Dairy,30,2024-07-13,2024-08-12,28,7
Apple,Fruits,76,2024-07-20,2024-08-04,18,30
Banana,Fruits,73,2024-07-21,2024-07-28,16,49
Fish,Seafood,59,2024-07-22,2024-07-26,32,16
Soda,Beverages,19,2024-07-21,2024-10-19,18,0
Milk,Dairy,74,2024-07-12,2024-07-22,29,38
Spinach,Vegetables,60,2024-07-13,2024-07-21,16,47
Apple,Fruits,86,2024-07-21,2024-08-05,18,28
Chips,Snacks,27,2024-07-18,2024-12-15,14,0
Juice,Beverages,49,2024-07-14,2024-09-12,3,8
Orange,Fruits,86,2024-07-16,2024-08-05,42,20
Milk,Dairy,73,2024-07-20,2024-07-30,29,47
Cookies,Snacks,17,2024-07-19,2024-11-16,0,5
Carrot,Vegetables,89,2024-07-23,2024-08-02,25,23
Beef,Meat,67,2024-07-23,2024-07-30,34,10
Carrot,Vegetables,81,2024-07-18,2024-07-28,25,36
Soda,Beverages,33,2024-07-22,2024-10-20,18,0
Tomato,Vegetables,16,2024-07-20,2024-08-02,38,6
Banana,Fruits,81,2024-07-20,2024-07-27,16,34
Tomato,Vegetables,69,2024-07-23,2024-08-05,38,6
Spinach,Vegetables,56,2024-07-14,2024-07-22,16,41
Chips,Snacks,25,2024-07-16,2024-12-13,14,0
Butter,Dairy,74,2024-07-11,2024-08-10,28,20
Bread,Bakery,58,2024-07-14,2024-07-17,25,44
Apple,Fruits,47,2024-07-17,2024-08-01,18,48
Butter,Dairy,44,2024-07-15,2024-08-14,28,9
Tomato,Vegetables,31,2024-07-18,2024-07-31,38,10
Milk,Dairy,30,2024-07-19,2024-07-29,29,13
Soda,Beverages,26,2024-07-20,2024-10-18,18,0
Potato,Vegetables,46,2024-07-20,2024-07-28,46,12
Bread,Bakery,55,2024-07-21,2024-07-24,25,46
Tomato,Vegetables,23,2024-07-22,2024-08-04,38,8
Fish,Seafood,45,2024-07-16,2024-07-20,32,15
Soda,Beverages,14,2024-07-19,2024-10-17,18,0
Banana,Fruits,82,2024-07-18,2024-07-25,16,34
Fish,Seafood,88,2024-07-18,2024-07-22,32,32
Broccoli,Vegetables,37,2024-07-22,2024-08-03,31,5
Milk,Dairy,89,2024-07-22,2024-08-01,29,32
Broccoli,Vegetables,94,2024-07-20,2024-08-01,31,34
Chicken,Meat,29,2024-07-13,2024-07-18,39,11
Banana,Fruits,56,2024-07-13,2024-07-20,16,30
Apple,Fruits,29,2024-07-20,2024-08-04,18,9
Chips,Snacks,72,2024-07-14,2024-12-11,14,8
Broccoli,Vegetables,29,2024-07-23,2024-08-04,31,10
Chicken,Meat,33,2024-07-12,2024-07-17,39,10
Shrimp,Seafood,49,2024-07-14,2024-07-20,48,17
Apple,Fruits,31,2024-07-23,2024-08-07,18,9
Bread,Bakery,88,2024-07-13,2024-07-16,25,36
Carrot,Vegetables,68,2024-07-21,2024-07-31,25,37
Juice,Beverages,80,2024-07-11,2024-09-09,3,0
Juice,Beverages,81,2024-07-22,2024-09-20,3,8
Butter,Dairy,97,2024-07-19,2024-08-18,28,29
Fish,Seafood,23,2024-07-23,2024-07-27,32,10
Carrot,Vegetables,48,2024-07-22,2024-08-01,25,10
Milk,Dairy,78,2024-07-13,2024-07-23,29,39
Milk,Dairy,45,2024-07-18,2024-07-28,29,18
Milk,Dairy,35,2024-07-12,2024-07-22,29,11
Carrot,Vegetables,44,2024-07-14,2024-07-24,25,16
Orange,Fruits,70,2024-07-10,2024-07-30,42,10
Broccoli,Vegetables,78,2024-07-21,2024-08-02,31,28
Broccoli,Vegetables,57,2024-07-15,2024-07-27,31,11
Cookies,Snacks,63,2024-07-12,2024-11-09,0,1
Butter,Dairy,72,2024-07-15,2024-08-14,28,32
Juice,Beverages,67,2024-07-22,2024-09-20,3,2
Chips,Snacks,39,2024-07-21,2024-12-18,14,2
Butter,Dairy,54,2024-07-23,2024-08-22,28,8
Bread,Bakery,94,2024-07-11,2024-07-14,25,48
Spinach,Vegetables,82,2024-07-13,2024-07-21,16,45
Shrimp,Seafood,65,2024-07-14,2024-07-20,48,11
Cookies,Snacks,74,2024-07-20,2024-11-17,0,0
Bread,Bakery,80,2024-07-23,2024-07-26,25,30
Butter,Dairy,39,2024-07-11,2024-08-10,28,13
Bread,Bakery,93,2024-07-19,2024-07-22,25,39
Banana,Fruits,96,2024-07-16,2024-07-23,16,48
Chips,Snacks,55,2024-07-15,2024-12-12,14,3
Tomato,Vegetables,11,2024-07-20,2024-08-02,38,8
Carrot,Vegetables,79,2024-07-16,2024-07-26,25,34
Potato,Vegetables,89,2024-07-12,2024-07-20,46,16
Bread,Bakery,63,2024-07-19,2024-07-22,25,43
Soda,Beverages,96,2024-07-16,2024-10-14,18,2
Butter,Dairy,48,2024-07-23,2024-08-22,28,10
Bread,Bakery,46,2024-07-22,2024-07-25,25,19
Juice,Beverages,91,2024-07-13,2024-09-11,3,9
Juice,Beverages,60,2024-07-15,2024-09-13,3,6
Bread,Bakery,66,2024-07-21,2024-07-24,25,32
Bread,Bakery,55,2024-07-20,2024-07-23,25,35
Chips,Snacks,70,2024-07-23,2024-12-20,14,0
Chips,Snacks,16,2024-07-22,2024-12-19,14,0
Spinach,Vegetables,57,2024-07-19,2024-07-27,16,31
Banana,Fruits,76,2024-07-18,2024-07-25,16,37
Fish,Seafood,95,2024-07-22,2024-07-26,32,45
Tomato,Vegetables,50,2024-07-17,2024-07-30,38,11
Chips,Snacks,64,2024-07-14,2024-12-11,14,9
Apple,Fruits,71,2024-07-14,2024-07-29,18,38
Chips,Snacks,13,2024-07-14,2024-12-11,14,0
Cookies,Snacks,16,2024-07-13,2024-11-10,0,1
Apple,Fruits,35,2024-07-11,2024-07-26,18,12
Carrot,Vegetables,54,2024-07-10,2024-07-20,25,31
Carrot,Vegetables,39,2024-07-23,2024-08-02,25,14
Chips,Snacks,56,2024-07-11,2024-12-08,14,9
Juice,Beverages,67,2024-07-22,2024-09-20,3,2
Apple,Fruits,36,2024-07-20,2024-08-04,18,6
Soda,Beverages,12,2024-07-20,2024-10-18,18,0
Chicken,Meat,72,2024-07-21,2024-07-26,39,13
Banana,Fruits,84,2024-07-21,2024-07-28,16,30
Bread,Bakery,72,2024-07-20,2024-07-23,25,35
Butter,Dairy,21,2024-07-22,2024-08-21,28,7
Juice,Beverages,11,2024-07-18,2024-09-16,3,6
Apple,Fruits,69,2024-07-18,2024-08-02,18,20
Beef,Meat,74,2024-07-14,2024-07-21,34,31
Shrimp,Seafood,97,2024-07-16,2024-07-22,48,40
Soda,Beverages,95,2024-07-14,2024-10-12,18,5
Beef,Meat,64,2024-07-21,2024-07-28,34,12
Chips,Snacks,78,2024-07-14,2024-12-11,14,7
Broccoli,Vegetables,33,2024-07-16,2024-07-28,31,11
Apple,Fruits,94,2024-07-19,2024-08-03,18,31
Bread,Bakery,58,2024-07-10,2024-07-13,25,32
Butter,Dairy,36,2024-07-20,2024-08-19,28,10
Apple,Fruits,76,2024-07-16,2024-07-31,18,46
Butter,Dairy,37,2024-07-15,2024-08-14,28,9
Shrimp,Seafood,31,2024-07-10,2024-07-16,48,10
Orange,Fruits,92,2024-07-12,2024-08-01,42,30
Tomato,Vegetables,40,2024-07-19,2024-08-01,38,16
Bread,Bakery,41,2024-07-11,2024-07-14,25,14
Potato,Vegetables,20,2024-07-19,2024-07-27,46,11
Soda,Beverages,43,2024-07-19,2024-10-17,18,9
Tomato,Vegetables,99,2024-07-23,2024-08-05,38,29
Milk,Dairy,15,2024-07-11,2024-07-21,29,17
Potato,Vegetables,68,2024-07-19,2024-07-27,46,14
Chicken,Meat,35,2024-07-19,2024-07-24,39,15
Fish,Seafood,85,2024-07-14,2024-07-18,32,44
Orange,Fruits,32,2024-07-17,2024-08-06,42,8
Banana,Fruits,73,2024-07-11,2024-07-18,16,44
Shrimp,Seafood,16,2024-07-12,2024-07-18,48,16
Tomato,Vegetables,76,2024-07-10,2024-07-23,38,13
Carrot,Vegetables,66,2024-07-23,2024-08-02,25,25
Soda,Beverages,74,2024-07-22,2024-10-20,18,7
Chips,Snacks,17,2024-07-14,2024-12-11,14,0
Milk,Dairy,15,2024-07-13,2024-07-23,29,15
Banana,Fruits,17,2024-07-16,2024-07-23,16,14
Juice,Beverages,50,2024-07-17,2024-09-15,3,7
Tomato,Vegetables,49,2024-07-23,2024-08-05,38,10
Chips,Snacks,65,2024-07-18,2024-12-15,14,3
Chips,Snacks,70,2024-07-19,2024-12-16,14,1
Tomato,Vegetables,37,2024-07-23,2024-08-05,38,11
Orange,Fruits,18,2024-07-20,2024-08-09,42,6
Soda,Beverages,92,2024-07-12,2024-10-10,18,7
Beef,Meat,99,2024-07-12,2024-07-19,34,49
Shrimp,Seafood,85,2024-07-20,2024-07-26,48,17
Soda,Beverages,88,2024-07-15,2024-10-13,18,9
Orange,Fruits,42,2024-07-20,2024-08-09,42,11
Yogurt,Dairy,82,2024-07-12,2024-07-24,10,32
Broccoli,Vegetables,40,2024-07-11,2024-07-23,31,13
Tomato,Vegetables,71,2024-07-14,2024-07-27,38,13
Chicken,Meat,66,2024-07-12,2024-07-17,39,19
Spinach,Vegetables,40,2024-07-12,2024-07-20,16,33
Yogurt,Dairy,79,2024-07-22,2024-08-03,10,24
Orange,Fruits,69,2024-07-13,2024-08-02,42,6
Carrot,Vegetables,58,2024-07-21,2024-07-31,25,36
Potato,Vegetables,73,2024-07-12,2024-07-20,46,18
Broccoli,Vegetables,54,2024-07-23,2024-08-04,31,14
Banana,Fruits,97,2024-07-19,2024-07-26,16,33
Juice,Beverages,52,2024-07-14,2024-09-12,3,0
Juice,Beverages,66,2024-07-21,2024-09-19,3,3
Juice,Beverages,48,2024-07-23,2024-09-21,3,4
Shrimp,Seafood,85,2024-07-21,2024-07-27,48,16
Tomato,Vegetables,48,2024-07-22,2024-08-04,38,12
Yogurt,Dairy,41,2024-07-22,2024-08-03,10,23
Soda,Beverages,97,2024-07-18,2024-10-16,18,1
Chicken,Meat,97,2024-07-11,2024-07-16,39,43
Apple,Fruits,98,2024-07-19,2024-08-03,18,23
Chips,Snacks,29,2024-07-17,2024-12-14,14,9
Chicken,Meat,93,2024-07-16,2024-07-21,39,44
Chips,Snacks,77,2024-07-13,2024-12-10,14,9
Chicken,Meat,19,2024-07-12,2024-07-17,39,19
Shrimp,Seafood,95,2024-07-18,2024-07-24,48,18
Orange,Fruits,37,2024-07-19,2024-08-08,42,10
Chicken,Meat,28,2024-07-23,2024-07-28,39,15
Chips,Snacks,51,2024-07-19,2024-12-16,14,7
Orange,Fruits,37,2024-07-23,2024-08-12,42,8
Shrimp,Seafood,20,2024-07-11,2024-07-17,48,17
Juice,Beverages,27,2024-07-13,2024-09-11,3,0
Tomato,Vegetables,52,2024-07-18,2024-07-31,38,11
Beef,Meat,30,2024-07-15,2024-07-22,34,13
Orange,Fruits,44,2024-07-16,2024-08-05,42,9
Chips,Snacks,19,2024-07-21,2024-12-18,14,0
Potato,Vegetables,24,2024-07-13,2024-07-21,46,15
Orange,Fruits,35,2024-07-12,2024-08-01,42,15
Butter,Dairy,21,2024-07-11,2024-08-10,28,12
Beef,Meat,38,2024-07-22,2024-07-29,34,13
Carrot,Vegetables,21,2024-07-20,2024-07-30,25,19
Shrimp,Seafood,68,2024-07-13,2024-07-19,48,19
Banana,Fruits,12,2024-07-21,2024-07-28,16,10
Apple,Fruits,32,2024-07-13,2024-07-28,18,13
Soda,Beverages,56,2024-07-21,2024-10-19,18,0
Potato,Vegetables,78,2024-07-14,2024-07-22,46,18
Spinach,Vegetables,49,2024-07-19,2024-07-27,16,32
Apple,Fruits,36,2024-07-11,2024-07-26,18,17
Butter,Dairy,93,2024-07-17,2024-08-16,28,26
Bread,Bakery,90,2024-07-23,2024-07-26,25,30
Soda,Beverages,12,2024-07-15,2024-10-13,18,0
Butter,Dairy,94,2024-07-21,2024-08-20,28,20
Chicken,Meat,33,2024-07-17,2024-07-22,39,10
Orange,Fruits,57,2024-07-13,2024-08-02,42,12
Juice,Beverages,25,2024-07-10,2024-09-08,3,8
Banana,Fruits,39,2024-07-20,2024-07-27,16,30
Broccoli,Vegetables,98,2024-07-10,2024-07-22,31,44
Chicken,Meat,57,2024-07-19,2024-07-24,39,11
Fish,Seafood,64,2024-07-16,2024-07-20,32,13
Orange,Fruits,39,2024-07-14,2024-08-03,42,7
Potato,Vegetables,19,2024-07-18,2024-07-26,46,19
Apple,Fruits,95,2024-07-15,2024-07-30,18,32
Juice,Beverages,23,2024-07-23,2024-09-21,3,9
Chips,Snacks,48,2024-07-20,2024-12-17,14,1
Broccoli,Vegetables,90,2024-07-15,2024-07-27,31,32
Orange,Fruits,54,2024-07-11,2024-07-31,42,16
Fish,Seafood,86,2024-07-15,2024-07-19,32,42
Butter,Dairy,70,2024-07-21,2024-08-20,28,25
Spinach,Vegetables,36,2024-07-17,2024-07-25,16,44
Beef,Meat,49,2024-07-22,2024-07-29,34,14
Orange,Fruits,21,2024-07-12,2024-08-01,42,18
Broccoli,Vegetables,58,2024-07-13,2024-07-25,31,15
Cookies,Snacks,79,2024-07-14,2024-11-11,0,4
Spinach,Vegetables,33,2024-07-14,2024-07-22,16,38
Fish,Seafood,52,2024-07-11,2024-07-15,32,18
Banana,Fruits,20,2024-07-10,2024-07-17,16,19
Butter,Dairy,86,2024-07-22,2024-08-21,28,25
Chips,Snacks,98,2024-07-11,2024-12-08,14,3
Butter,Dairy,96,2024-07-15,2024-08-14,28,22
Bread,Bakery,84,2024-07-17,2024-07-20,25,42
Chips,Snacks,57,2024-07-17,2024-12-14,14,8
Bread,Bakery,30,2024-07-20,2024-07-23,25,15
Cookies,Snacks,91,2024-07-18,2024-11-15,0,7
Broccoli,Vegetables,29,2024-07-22,2024-08-03,31,10
Soda,Beverages,49,2024-07-18,2024-10-16,18,3
Yogurt,Dairy,93,2024-07-23,2024-08-04,10,28
Soda,Beverages,37,2024-07-13,2024-10-11,18,8
Fish,Seafood,71,2024-07-20,2024-07-24,32,48
Spinach,Vegetables,34,2024-07-10,2024-07-18,16,39
Apple,Fruits,19,2024-07-18,2024-08-02,18,9
Beef,Meat,34,2024-07-12,2024-07-19,34,16
Soda,Beverages,88,2024-07-10,2024-10-08,18,2
Cookies,Snacks,88,2024-07-19,2024-11-16,0,2
Chicken,Meat,61,2024-07-15,2024-07-20,39,17
Chips,Snacks,66,2024-07-17,2024-12-14,14,0
Apple,Fruits,64,2024-07-12,2024-07-27,18,37
Yogurt,Dairy,72,2024-07-17,2024-07-29,10,32
Potato,Vegetables,18,2024-07-14,2024-07-22,46,10
Bread,Bakery,98,2024-07-19,2024-07-22,25,49
Shrimp,Seafood,84,2024-07-11,2024-07-17,48,12
Cookies,Snacks,77,2024-07-18,2024-11-15,0,9
Milk,Dairy,63,2024-07-17,2024-07-27,29,49
Cookies,Snacks,11,2024-07-17,2024-11-14,0,0
Bread,Bakery,75,2024-07-12,2024-07-15,25,44
Potato,Vegetables,53,2024-07-13,2024-07-21,46,14
Beef,Meat,16,2024-07-14,2024-07-21,34,13
Orange,Fruits,13,2024-07-23,2024-08-12,42,10
Carrot,Vegetables,70,2024-07-12,2024-07-22,25,40
Milk,Dairy,20,2024-07-21,2024-07-31,29,19
Juice,Beverages,82,2024-07-10,2024-09-08,3,0
Milk,Dairy,46,2024-07-18,2024-07-28,29,17
Shrimp,Seafood,41,2024-07-12,2024-07-18,48,14
Fish,Seafood,92,2024-07-22,2024-07-26,32,36
Milk,Dairy,63,2024-07-20,2024-07-30,29,45
Beef,Meat,92,2024-07-23,2024-07-30,34,30
Spinach,Vegetables,40,2024-07-18,2024-07-26,16,34
Cookies,Snacks,96,2024-07-13,2024-11-10,0,5
Banana,Fruits,28,2024-07-20,2024-07-27,16,14
Yogurt,Dairy,22,2024-07-17,2024-07-29,10,46
Banana,Fruits,68,2024-07-14,2024-07-21,16,35
Soda,Beverages,48,2024-07-10,2024-10-08,18,1
Carrot,Vegetables,33,2024-07-13,2024-07-23,25,10
Butter,Dairy,67,2024-07-22,2024-08-21,28,32
Shrimp,Seafood,34,2024-07-11,2024-07-17,48,12
Yogurt,Dairy,11,2024-07-15,2024-07-27,10,14
Milk,Dairy,86,2024-07-10,2024-07-20,29,43
Tomato,Vegetables,74,2024-07-12,2024-07-25,38,14
Fish,Seafood,78,2024-07-22,2024-07-26,32,31
Cookies,Snacks,89,2024-07-16,2024-11-13,0,3
Fish,Seafood,49,2024-07-11,2024-07-15,32,10
Potato,Vegetables,96,2024-07-15,2024-07-23,46,33
Yogurt,Dairy,69,2024-07-22,2024-08-03,10,25
Bread,Bakery,37,2024-07-22,2024-07-25,25,10
Carrot,Vegetables,10,2024-07-21,2024-07-31,25,14
Spinach,Vegetables,27,2024-07-20,2024-07-28,16,11
Carrot,Vegetables,19,2024-07-10,2024-07-20,25,11
Potato,Vegetables,70,2024-07-13,2024-07-21,46,18
Spinach,Vegetables,42,2024-07-19,2024-07-27,16,43
Fish,Seafood,14,2024-07-14,2024-07-18,32,11
Bread,Bakery,65,2024-07-14,2024-07-17,25,42
Butter,Dairy,15,2024-07-16,2024-08-15,28,10
Shrimp,Seafood,93,2024-07-21,2024-07-27,48,16
Beef,Meat,69,2024-07-21,2024-07-28,34,46
Potato,Vegetables,13,2024-07-21,2024-07-29,46,15
Butter,Dairy,89,2024-07-14,2024-08-13,28,23
Beef,Meat,48,2024-07-16,2024-07-23,34,18
Banana,Fruits,14,2024-07-21,2024-07-28,16,11
Bread,Bakery,78,2024-07-19,2024-07-22,25,48
Carrot,Vegetables,34,2024-07-10,2024-07-20,25,13
Yogurt,Dairy,56,2024-07-22,2024-08-03,10,27
Tomato,Vegetables,45,2024-07-17,2024-07-30,38,17
Yogurt,Dairy,44,2024-07-13,2024-07-25,10,48
Juice,Beverages,67,2024-07-23,2024-09-21,3,6
Chips,Snacks,88,2024-07-13,2024-12-10,14,0
Orange,Fruits,65,2024-07-10,2024-07-30,42,10
Chips,Snacks,20,2024-07-18,2024-12-15,14,0
Banana,Fruits,97,2024-07-22,2024-07-29,16,42
Milk,Dairy,10,2024-07-15,2024-07-25,29,13
Orange,Fruits,38,2024-07-10,2024-07-30,42,15
Orange,Fruits,58,2024-07-14,2024-08-03,42,9
Orange,Fruits,29,2024-07-22,2024-08-11,42,5
Apple,Fruits,47,2024-07-14,2024-07-29,18,41
Soda,Beverages,10,2024-07-16,2024-10-14,18,0
